neighborhood;count
Elmhurst;49
Astoria;44
Central Harlem;42
Jackson Heights;33
Woodside;32
Midtown;36
Murray Hill;23
Flatbush;30
East Village;21
Concourse;20
Ridgewood;19
Flushing;28
Bensonhurst;18
Sunset Park;17
Park Hill;17
Jamaica;17
Corona;15
Kensington;14
Jersey City (NJ);14
Brighton Beach;14
East Harlem;14
Chinatown;13
Newark (NJ);13
Sunnyside;13
Financial District;12
Tremont;11
Glendale;11
Midwood;10
Edison (NJ);10
Gravesend;10
Lower East Side;9
Bay Ridge;9
Forest Hills;9
Bedford-Stuyvesant;9
Fordham;9
East Flatbush;9
Belmont;9
Williamsburg;9
Mott Haven;8
East New York;8
Kingsbridge;8
Queens Village;8
Yonkers (NY);8
Crown Heights;7
Chelsea;7
University Heights;7
Norwood;7
Borough Park;9
Prospect Heights;7
Paterson (NJ);7
Upper East Side;15
Morrisania;6
Clifton;6
Washington Heights;6
Sheepshead Bay;11
Park Slope;6
South Ozone Park;6
West Village;6
Upper West Side;10
Hell's Kitchen;5
Hicksville (NY);5
Canarsie;5
Douglaston;5
Wayne (NJ);5
College Point;5
SoHo;5
Little Italy;5
Castle Hill;5
Rego Park;5
Gramercy;5
Parkchester;5
Carroll Gardens;4
Mount Hope;4
Greenwich Village;4
Roosevelt Island;4
Bushwick;6
TriBeCa;4
Kew Gardens Hills;4
DUMBO;4
Cobble Hill;4
St. Albans;4
New Brunswick (NJ);4
Great Neck (NY);4
Morris Park;4
Richmond Hill;4
Claremont Village;4
Greenpoint;4
Ozone Park;4
Brooklyn Heights;3
Valley Stream (NY);3
Van Nest;3
Morris Heights;3
New Haven (CT);3
Brownsville;3
Jamaica Hills;3
Great Kills;3
Boerum Hill;3
Clifton (NJ);2
Kingston (NY);2
Lakewood (NJ);2
Bellerose;2
Jamaica Estates;2
Long Island City;2
Woodlawn;2
Princeton (NJ);2
Middle Village;2
Wakefield;2
Fairview (NJ);2
Bridgewater (NJ);2
Passaic (NJ);2
Riverhead (NY);2
Bridgeport (CT);2
Pomona (NY);2
Elizabeth (NJ);2
New Milford (NJ);2
Union City (NJ);2
Highbridge;2
Maspeth;2
Flatlands;2
Garfield (NJ);2
East Orange (NJ);2
Fair Lawn (NJ);2
Jamaica;2
Soundview;2
Hoboken (NJ);2
Far Rockaway;2
Flatiron;4
Manville (NJ);2
Dyker Heights;2
Crotona Park;2
Floral Park (NY);2
Morningside Heights;2
Spring Valley (NY);2
Whitestone;2
Governors Island;2
Throgs Neck;2
Eltingville;1
Linden (NJ);1
Milltown (NJ);1
Fresh Meadows;1
Walkill (NY);1
Terryville (CT);1
Fairfield (CT);1
Bayside;1
Tompkinsville;1
Hempstead (NY);1
Norwalk (CT);1
Hollis;1
Melrose;1
Montauk (NY);1
Red Hook (NY);1
Kent (CT);1
Highland Park (NJ);1
Shore Acres;1
Laurence Harbor (NJ);1
North New Hyde Park (NY);1
Bath Beach;1
Manhattan Beach;1
Poughkeepsie (NY);1
Oakwood;1
Pelham Bay;1
Walden (NY);1
Inwood;1
Deal (NJ);1
Haworth (NJ);1
Paramus (NJ);1
Poospatuck Reservation - Mastic (NY);1
Grymes Hill;1
Edenwald;1
Stapleton;1
Bayonne (NJ);1
Shinnecock Reservation - Southampton (NY);1
Kearny (NJ);1
Kew Gardens;1
Woodland Park (NJ);1
Sea Cliff (NY);1
North Riverdale;1
Midland Beach;1
Dover (NJ);1
Centereach (NY);1
4.075.727.600;1
Co-op City;1
4.074.583.500;1
Jericho (NY);1
Gerritsen Beach;1
Red Hook;1
South River (NJ);1
Toms River (NJ);1
Fort Greene;1
Kiryas Joel (NY);1
Hackettstown (NJ);1
White Plains (NY);1
Mt. Vernon (NY);1
Manalapan Township (NJ);1
Glen Rock (NJ);1
New Springville;1
Kips Bay;1
Brentwood (NY);1
Larchmont (NY);1
Brewster (NY);1
Ossining (NY);1
Hunts Point;1
Gowanus;1
-7.384.578.102;1
Perth Amboy (NJ);1
Cypress Hills;1
-7.421.780.995;1
Boonton (NJ);1
Breezy Point;1
Pearl River (NY);1
Port Richmond;7
Silver Lake;1
Morristown (NJ);1
Williamsbridge;1
Todt Hill;1
Hillsborough (NJ);1
Battery Park City;1
Briarwood;1
St. George;1
Plainfield (NJ);1
Franklin Square (NY);1
Allerton;1
Palisades Park (NJ);1
Trumbull (CT);1
4.074.366.300;1
4.075.629.400;1
Plainview (NY);1
Howell (NJ);1
Roslyn (NY);1
Cambria Heights;1
Riverdale;1
Monticello (NY);1
Hewlett (NY);1
Suffern (NY);1
Fort Lee (NJ);1
New Rochelle (NY);1
Tuckahoe (NY);1
Howard Beach;1
