language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Abaza;Абаза;The Circassian diaspora, originating from the north Caucasus in what is now Russia, has its major American center in and around Paterson, New Jersey, with the headquarters of the important Circassian Benevolent Association, founded in 1952, located today in the town of Wayne. Circassian languages represented in the New Jersey diaspora community include Abaza, Adyghe, Bzedukh, Kabardian, and Shapsug. A large initial influx of Circassian refugees fleeing Russian repression settled in the area beginning in the 1920s, finding jobs at nearby factories, and the community has grown to number in the thousands as more Circassians have arrived from other diaspora outposts including Syria and Jordan.;Western Asia;Turkey, Russia;49800;Wayne (NJ);;4.093.882.300;-7.420.013.000;Smallest;Residential;abaz1241;Abkhaz-Adyge;abq
Abruzzese;Abbruzzésə;Many immigrants from the town of Orsogna in Italy's Abruzzo region initially settled on Elizabeth Street in Little Italy. Later, the community became established in Astoria, and in 1939 seven men formed the Orsogna Mutual Aid Society at the heart of the growing Orsognesi community on 18th Street. Hundreds more Orsognesi came as refugees in the wake of the destruction brought by the Second World War. Strong ties between Astoria and Orsogna continue down to the present day.;Southern Europe;Italy;;Astoria;;4.077.355.600;-7.392.706.500;Small;Residential;;Indo-European;nap
Abruzzese;Abbruzzésə;Many immigrants from the town of Orsogna in Italy's Abruzzo region initially settled on Elizabeth Street in Little Italy. Later, the community became established in Astoria, and in 1939 seven men formed the Orsogna Mutual Aid Society at the heart of the growing Orsognesi community on 18th Street. Hundreds more Orsognesi came as refugees in the wake of the destruction brought by the Second World War. Strong ties between Astoria and Orsogna continue down to the present day.;Southern Europe;Italy;;Little Italy;;4.071.870.175;-7.399.578.719;Small;Historical;;Indo-European;nap
Acehnese;Bahsa Acèh;New York's relatively new Indonesian community is several thousand strong and growing, with the largest concentration in Elmhurst, and the Al-Hikmah mosque in Astoria serving as an important community center for Indonesian Muslims (while churches serve an analogous role for Christians). Indonesian serves as a lingua franca to which all Indonesians are increasingly shifting, but the New York community is highly multilingual with numerous speakers of Javanese, Manado Malay, Sundanese, and a dozen other languages.;Southeastern Asia;Indonesia;3500000;Astoria;;4.075.904.600;-7.390.984.000;Smallest;Community;achi1257;Austronesian;ace
Acehnese;Bahsa Acèh;New York's relatively new Indonesian community is several thousand strong and growing, with the largest concentration in Elmhurst, and the Al-Hikmah mosque in Astoria serving as an important community center for Indonesian Muslims (while churches serve an analogous role for Christians). Indonesian serves as a lingua franca to which all Indonesians are increasingly shifting, but the New York community is highly multilingual with numerous speakers of Javanese, Manado Malay, Sundanese, and a dozen other languages.;Southeastern Asia;Indonesia;3500000;Elmhurst;;4.074.409.000;-7.388.327.700;Smallest;Residential;achi1257;Austronesian;ace
Adjoukrou;Mɔjukru;The only speakers of Appolo and Adjoukrou in New York known to ELA, both from Ivory Coast, are married to each other. In the city there are also likely to be speakers of Appolo (Nzema) from Ghana, where the majority live.;Western Africa;Ivory Coast;140000;Concourse;;4.082.343.800;-7.392.466.100;Smallest;Residential;adio1239;Atlantic-Congo;adj
Adyghe;К|ахыбзэ;The Circassian diaspora, originating from the north Caucasus in what is now Russia, has its major American center in and around Paterson, New Jersey, with the headquarters of the important Circassian Benevolent Association, founded in 1952, located today in the town of Wayne. Circassian languages represented in the New Jersey diaspora community include Abaza, Adyghe, Bzedukh, Kabardian, and Shapsug. A large initial influx of Circassian refugees fleeing Russian repression settled in the area beginning in the 1920s, finding jobs at nearby factories, and the community has grown to number in the thousands as more Circassians have arrived from other diaspora outposts including Syria and Jordan.;Western Asia;Turkey, Russia;117500;Wayne (NJ);;4.093.843.600;-7.420.131.800;Small;Residential;adyg1241;Abkhaz-Adyge;ady
Afenmai;Afenmai;New York's Nigerian population started growing in the 1970s and 80s, accelerating since 2000 in part thanks to the Diversity Visa program. Nigerians from a wide variety of backgrounds—though a significant percentage are middle-class and highly educated— now make up a large percentage of the city's massive West African community, particularly in East New York, Bedford-Stuyvesant, Flatbush, Clifton, and Concourse. Numerous evangelical churches now serve Christian Nigerian New Yorkers, and there are a number of restaurants, markets, and other businesses for the wider community. Community and hometown organizations also represent those with ties to particular Nigerian states like Edo and Akwa Ibom. The multilingualism of Nigerian New Yorkers testifies to the country's extraordinary linguistic diversity, though Yoruba, Igbo, Hausa, and Edo varieties appear to be the most common, with Nigerian English sometimes a lingua franca. Smaller language groups are also present, including some with substantial and well-organized communities: Afenmai, Anaang, Edo, Efik, Esan, Ibibio, Kalabari, Tiv, Urhobo, and likely others.;Western Africa;Nigeria;270000;Castle Hill;;4.082.852.200;-7.385.773.100;Smallest;Residential;afen1234;Atlantic-Congo;ets
African-American English;Black English;African-American life in Brooklyn dates back to the days when it was an independent city centered on what is today Downtown Brooklyn, but with vast rural and small-town hinterlands devoted to farming. Slavery persisted into the first decades of the 19th century, longer than elsewhere in New York (and in the North more generally). Weeksville, a free Black community, grew up near today's Crown Heights and Bed-Stuy neighborhoods partly in the wake of the devastating Draft Riots of 1863, which drove many Black people from Manhattan. More recently, the movement of a growing African-American community out of overcrowded Harlem after the Second World War led to tremendous growth in Black Brooklyn. By the 1960s and 70s, Bed-Stuy and the surrounding neighborhoods had become a major center of African-American life, culture, and politics, with figures ranging from Shirley Chisholm to Spike Lee to the Notorious B.I.G. all making their mark.;Northern America;United States;45109521;Bedford-Stuyvesant;Ocean Hill-Brownsville, East New York;4.068.722.900;-7.393.257.100;Largest;Residential;;Indo-European;eng
African-American English;Black English;Harlem has long been an ultimate destination and crucial icon of Black America. African-Americans from all over the south, but particularly states like Georgia and the Carolinas, made their way north to New York during the great migration chronicled in Isabel Wilkerson's book The Warmth of Other Suns, helping to touch off the Harlem Renaissance of the 1920s.;Northern America;United States;45109521;Central Harlem;Morningside Heights;4.080.990.400;-7.395.012.700;Largest;Residential;;Indo-European;eng
